,Bairros,Média dos Preços
0,District_Artur Alvim,18.835759660760107
1,District_Belém,27.565119066040744
2,District_Cangaíba,21.84920122757439
3,District_Carrão,25.425883826702652
4,District_Cidade Líder,19.886913665530702
5,District_Cidade Tiradentes,21.46380933540713
6,District_Ermelino Matarazzo,22.670000502596366
7,District_Iguatemi,81.9964724271311
8,District_Itaim Paulista,18.965093498785603
9,District_Itaquera,21.39126863384971
10,District_Jardim Helena,19.84826882872758
11,District_José Bonifácio,17.601334167562666
12,District_Lajeado,18.56242032738999
13,District_Parque do Carmo,22.84782608695652
14,District_Penha,23.990006218419975
15,District_Ponte Rasa,19.850607666143382
16,District_Sapopemba,23.797180619420047
17,District_São Lucas,22.910854186060234
18,District_São Mateus,21.112479951468032
19,District_São Miguel,21.605091640923668
20,District_São Rafael,22.9202982307821
21,District_Tatuapé,29.30124151790606
22,District_Vila Curuçá,25.12005081753384
23,District_Vila Formosa,25.72807485896053
24,District_Vila Jacuí,22.052086438804672
25,District_Vila Matilde,24.081108251979675
26,District_Vila Prudente,26.876824541487302
27,District_Cambuci,32.21115910698483
28,District_Campo Belo,52.24567043476015
29,District_Campo Grande,27.79118929446052
30,District_Campo Limpo,22.192558072159212
31,District_Capão Redondo,22.668333597869555
32,District_Cidade Ademar,24.074897426123595
33,District_Cidade Dutra,22.125634951028335
34,District_Cursino,28.553383297042192
35,District_Grajaú,18.958333333333336
36,District_Ipiranga,33.85781306873277
37,District_Itaim Bibi,75.69826485289495
38,District_Jabaquara,26.463460818066178
39,District_Jardim Ângela,20.10874122631734
40,District_Jardim Paulista,46.76361019570868
41,District_Moema,53.56401014160232
42,District_Morumbi,26.020202460277197
43,District_Pedreira,22.59730721865763
44,District_Sacomã,28.250739755003146
45,District_Santo Amaro,40.00974099184533
46,District_Saúde,33.84039333744424
47,District_Socorro,25.965140274839968
48,District_Vila Andrade,28.335644697151405
49,District_Vila Mariana,44.436974370844574
50,District_Vila Sônia,26.317486091592638
51,District_Alto de Pinheiros,44.57468039709711
52,District_Anhanguera,36.05800260511629
53,District_Brasilândia,21.02948644461664
54,District_Butantã,25.12478466574814
55,District_Cachoeirinha,22.453639276021356
56,District_Freguesia do Ó,24.27849962973269
57,District_Jaguaré,27.613207801377566
58,District_Jaraguá,27.040786766837627
59,District_Lapa,33.03563511256028
60,District_Limão,24.740160656791144
61,District_Perdizes,37.46214538341786
62,District_Pinheiros,60.70992053279081
63,District_Pirituba,24.502802945793622
64,District_Raposo Tavares,28.428260085465528
65,District_Rio Pequeno,26.367145636004974
66,District_Vila Leopoldina,39.147629882709204
67,District_Barra Funda,41.9007477197846
68,District_Bela Vista,41.446679787660344
69,District_Bom Retiro,22.981500505682362
70,District_Brás,31.248163202710867
71,District_Consolação,58.07012901594392
72,District_Liberdade,34.71745745349973
73,District_Pari,25.71833824905499
74,District_República,35.96216697400286
75,District_Santa Cecília,37.96962829953628
76,District_Sé,24.22943774664205
77,District_Casa Verde,31.318480245208306
78,District_Jaçanã,19.248176011542945
79,District_Mandaqui,21.19730968367572
80,District_Santana,29.976134372819907
81,District_Tremembé,20.95862743248793
82,District_Tucuruvi,25.9181092404466
83,District_Vila Guilherme,28.093484914550825
84,District_Vila Maria,24.10526767506771
85,District_Medeiros,23.4654325191138
86,District_Água Rasa,31.4294068388064
87,District_Aricanduva,24.707753236876055
88,District_Guaianazes,18.918072231751477
89,District_Jardim São Luis,17.047867386850438
90,District_Vila Madalena,54.58029346211307
91,District_Mooca,27.438363285331086
92,District_Brooklin,63.035631786474795
93,District_Vila Olimpia,80.08152074542164
